id,neighborhood,room_type,price,rating,review_text
841,Darlinghurst,Shared room,439.28,5.0,"Basic room, clean but tiny. The host was very friendly."
842,Surry Hills,Entire home/apt,740.58,2.5,Extremely clean and modern apartment with high-speed wifi.
843,Bondi,Private room,572.97,4.1,"Basic room, clean but tiny. The host was very friendly."
844,Manly,Entire home/apt,181.71,4.0,"Quiet and peaceful, the perfect romantic getaway."
845,Newtown,Private room,205.54,3.7,"A lovely, quiet neighborhood perfect for families. Close to the beach."
846,Darlinghurst,Private room,219.15,4.6,"Very noisy and bustling, great for nightlife but hard to sleep."
847,Surry Hills,Entire home/apt,392.88,3.5,"Basic room, clean but tiny. The host was very friendly."
848,Bondi,Entire home/apt,707.75,4.1,"Terrible experience, the place was dirty and loud."
849,Manly,Shared room,332.61,3.6,Luxury villa with a pool and ocean views. Incredible experience.
850,Surry Hills,Entire home/apt,582.83,3.6,"Very noisy and bustling, great for nightlife but hard to sleep."
851,Surry Hills,Private room,719.41,2.6,Extremely clean and modern apartment with high-speed wifi.
852,Manly,Entire home/apt,617.92,3.3,"Basic room, clean but tiny. The host was very friendly."
853,Manly,Private room,360.2,4.4,A bit outdated but very affordable and cozy.
854,Parramatta,Private room,551.49,4.4,Luxury villa with a pool and ocean views. Incredible experience.
855,Surry Hills,Shared room,789.61,4.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
856,Manly,Entire home/apt,316.4,3.2,"Very noisy and bustling, great for nightlife but hard to sleep."
857,Surry Hills,Shared room,378.68,3.2,"Very noisy and bustling, great for nightlife but hard to sleep."
858,Bondi,Private room,268.85,4.2,A bit outdated but very affordable and cozy.
859,Darlinghurst,Private room,572.0,2.9,"Basic room, clean but tiny. The host was very friendly."
860,Manly,Entire home/apt,572.22,3.3,Extremely clean and modern apartment with high-speed wifi.
861,Newtown,Private room,518.68,3.4,A bit outdated but very affordable and cozy.
862,Parramatta,Shared room,661.74,3.3,A bit outdated but very affordable and cozy.
863,Surry Hills,Private room,510.97,2.6,"Terrible experience, the place was dirty and loud."
864,Bondi,Entire home/apt,111.0,5.0,"Basic room, clean but tiny. The host was very friendly."
865,Surry Hills,Entire home/apt,139.21,4.7,"A lovely, quiet neighborhood perfect for families. Close to the beach."
866,Parramatta,Entire home/apt,793.37,4.4,Luxury villa with a pool and ocean views. Incredible experience.
867,Darlinghurst,Entire home/apt,140.02,2.9,"Basic room, clean but tiny. The host was very friendly."
868,Parramatta,Shared room,760.81,3.8,"Terrible experience, the place was dirty and loud."
869,Newtown,Entire home/apt,497.4,3.7,Extremely clean and modern apartment with high-speed wifi.
870,Parramatta,Entire home/apt,359.11,2.9,"Quiet and peaceful, the perfect romantic getaway."
871,Surry Hills,Private room,364.6,4.6,"Terrible experience, the place was dirty and loud."
872,Bondi,Shared room,156.58,2.5,A bit outdated but very affordable and cozy.
873,Surry Hills,Private room,552.43,4.9,Extremely clean and modern apartment with high-speed wifi.
874,Bondi,Private room,113.47,4.3,"Quiet and peaceful, the perfect romantic getaway."
875,Bondi,Entire home/apt,398.72,2.7,Luxury villa with a pool and ocean views. Incredible experience.
876,Parramatta,Shared room,60.39,4.5,"Basic room, clean but tiny. The host was very friendly."
877,Manly,Entire home/apt,592.92,4.3,"Terrible experience, the place was dirty and loud."
878,Parramatta,Shared room,531.28,3.2,"A lovely, quiet neighborhood perfect for families. Close to the beach."
879,Darlinghurst,Shared room,601.92,3.0,Luxury villa with a pool and ocean views. Incredible experience.
880,Darlinghurst,Entire home/apt,686.73,3.8,"Terrible experience, the place was dirty and loud."
881,Bondi,Entire home/apt,395.97,3.2,A bit outdated but very affordable and cozy.
882,Surry Hills,Shared room,403.63,4.4,"Very noisy and bustling, great for nightlife but hard to sleep."
883,Parramatta,Private room,381.29,4.9,"Basic room, clean but tiny. The host was very friendly."
884,Manly,Private room,232.56,4.1,A bit outdated but very affordable and cozy.
885,Bondi,Private room,748.03,4.9,"Basic room, clean but tiny. The host was very friendly."
886,Manly,Entire home/apt,631.11,3.0,"Terrible experience, the place was dirty and loud."
887,Manly,Private room,687.19,4.7,"Very noisy and bustling, great for nightlife but hard to sleep."
888,Darlinghurst,Shared room,252.01,3.9,"Very noisy and bustling, great for nightlife but hard to sleep."
889,Surry Hills,Shared room,97.59,3.3,"Quiet and peaceful, the perfect romantic getaway."
890,Darlinghurst,Private room,657.22,4.8,"Basic room, clean but tiny. The host was very friendly."
891,Parramatta,Shared room,363.81,4.7,A bit outdated but very affordable and cozy.
892,Newtown,Entire home/apt,720.86,2.8,"Quiet and peaceful, the perfect romantic getaway."
893,Darlinghurst,Private room,762.04,2.7,A bit outdated but very affordable and cozy.
894,Surry Hills,Private room,695.79,4.4,"Quiet and peaceful, the perfect romantic getaway."
895,Surry Hills,Entire home/apt,608.44,4.3,A bit outdated but very affordable and cozy.
896,Bondi,Entire home/apt,414.13,4.1,A bit outdated but very affordable and cozy.
897,Darlinghurst,Shared room,627.75,3.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
898,Bondi,Shared room,372.76,4.1,A bit outdated but very affordable and cozy.
899,Newtown,Shared room,665.53,2.7,"Terrible experience, the place was dirty and loud."
900,Manly,Private room,578.28,5.0,"Quiet and peaceful, the perfect romantic getaway."
901,Parramatta,Entire home/apt,230.58,3.8,"Quiet and peaceful, the perfect romantic getaway."
902,Manly,Private room,334.65,3.0,Luxury villa with a pool and ocean views. Incredible experience.
903,Surry Hills,Private room,269.19,2.6,Extremely clean and modern apartment with high-speed wifi.
904,Newtown,Entire home/apt,362.58,3.2,"Terrible experience, the place was dirty and loud."
905,Parramatta,Shared room,418.92,3.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
906,Bondi,Private room,77.84,2.7,"Basic room, clean but tiny. The host was very friendly."
907,Bondi,Private room,335.87,2.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
908,Bondi,Entire home/apt,647.55,4.4,"Terrible experience, the place was dirty and loud."
909,Darlinghurst,Private room,258.34,2.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
910,Newtown,Shared room,572.73,4.8,"Terrible experience, the place was dirty and loud."
911,Parramatta,Shared room,388.09,3.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
912,Parramatta,Entire home/apt,687.11,2.9,Extremely clean and modern apartment with high-speed wifi.
913,Bondi,Entire home/apt,277.28,2.9,A bit outdated but very affordable and cozy.
914,Bondi,Private room,645.62,3.1,A bit outdated but very affordable and cozy.
915,Surry Hills,Shared room,333.62,2.8,"Very noisy and bustling, great for nightlife but hard to sleep."
916,Parramatta,Shared room,141.38,3.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
917,Parramatta,Shared room,725.35,4.7,Extremely clean and modern apartment with high-speed wifi.
918,Newtown,Private room,329.46,4.3,Luxury villa with a pool and ocean views. Incredible experience.
919,Manly,Private room,109.4,3.2,"Terrible experience, the place was dirty and loud."
920,Newtown,Shared room,573.59,2.8,Extremely clean and modern apartment with high-speed wifi.
921,Surry Hills,Shared room,392.35,3.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
922,Manly,Private room,108.89,4.0,"Quiet and peaceful, the perfect romantic getaway."
923,Manly,Entire home/apt,736.02,4.3,"A lovely, quiet neighborhood perfect for families. Close to the beach."
924,Bondi,Shared room,756.08,5.0,"Basic room, clean but tiny. The host was very friendly."
925,Manly,Private room,478.25,3.1,"Terrible experience, the place was dirty and loud."
926,Parramatta,Shared room,369.67,2.9,"Very noisy and bustling, great for nightlife but hard to sleep."
927,Surry Hills,Entire home/apt,420.75,4.8,"Very noisy and bustling, great for nightlife but hard to sleep."
928,Parramatta,Private room,381.01,3.5,Extremely clean and modern apartment with high-speed wifi.
929,Darlinghurst,Entire home/apt,559.09,3.9,A bit outdated but very affordable and cozy.
930,Manly,Private room,162.45,2.9,Luxury villa with a pool and ocean views. Incredible experience.
931,Parramatta,Entire home/apt,556.78,3.3,"Basic room, clean but tiny. The host was very friendly."
932,Bondi,Private room,512.93,3.8,Extremely clean and modern apartment with high-speed wifi.
933,Surry Hills,Entire home/apt,465.28,3.3,A bit outdated but very affordable and cozy.
934,Surry Hills,Entire home/apt,288.15,3.4,"Quiet and peaceful, the perfect romantic getaway."
935,Parramatta,Entire home/apt,788.72,2.7,Extremely clean and modern apartment with high-speed wifi.
936,Darlinghurst,Shared room,551.26,2.6,Extremely clean and modern apartment with high-speed wifi.
937,Darlinghurst,Entire home/apt,770.63,2.9,Luxury villa with a pool and ocean views. Incredible experience.
938,Parramatta,Private room,590.22,5.0,Luxury villa with a pool and ocean views. Incredible experience.
939,Darlinghurst,Private room,458.62,4.2,"A lovely, quiet neighborhood perfect for families. Close to the beach."
940,Surry Hills,Shared room,607.4,3.0,"Terrible experience, the place was dirty and loud."
941,Manly,Entire home/apt,487.91,3.3,Extremely clean and modern apartment with high-speed wifi.
942,Darlinghurst,Shared room,387.77,4.9,"Very noisy and bustling, great for nightlife but hard to sleep."
943,Surry Hills,Shared room,418.38,2.9,Luxury villa with a pool and ocean views. Incredible experience.
944,Newtown,Private room,56.45,2.7,"A lovely, quiet neighborhood perfect for families. Close to the beach."
945,Parramatta,Entire home/apt,719.82,4.9,"Terrible experience, the place was dirty and loud."
946,Darlinghurst,Entire home/apt,760.72,2.9,"Basic room, clean but tiny. The host was very friendly."
947,Manly,Entire home/apt,661.29,4.2,"Very noisy and bustling, great for nightlife but hard to sleep."
948,Surry Hills,Private room,534.56,4.3,Extremely clean and modern apartment with high-speed wifi.
949,Darlinghurst,Private room,366.86,4.0,"Basic room, clean but tiny. The host was very friendly."
950,Surry Hills,Private room,161.08,4.5,"Very noisy and bustling, great for nightlife but hard to sleep."
951,Manly,Shared room,486.98,4.6,"Quiet and peaceful, the perfect romantic getaway."
952,Newtown,Shared room,229.69,4.3,Luxury villa with a pool and ocean views. Incredible experience.
953,Newtown,Shared room,578.87,2.7,"Very noisy and bustling, great for nightlife but hard to sleep."
954,Darlinghurst,Private room,261.14,3.7,"Terrible experience, the place was dirty and loud."
955,Manly,Shared room,775.63,4.0,"Basic room, clean but tiny. The host was very friendly."
956,Darlinghurst,Shared room,249.55,4.8,"Quiet and peaceful, the perfect romantic getaway."
957,Parramatta,Private room,346.53,3.2,"Basic room, clean but tiny. The host was very friendly."
958,Darlinghurst,Entire home/apt,611.34,2.8,"Very noisy and bustling, great for nightlife but hard to sleep."
959,Parramatta,Shared room,383.74,4.6,"Very noisy and bustling, great for nightlife but hard to sleep."
960,Darlinghurst,Private room,783.18,4.6,"Terrible experience, the place was dirty and loud."
961,Bondi,Entire home/apt,514.85,4.7,A bit outdated but very affordable and cozy.
962,Parramatta,Private room,621.74,5.0,Extremely clean and modern apartment with high-speed wifi.
963,Parramatta,Entire home/apt,120.11,3.4,A bit outdated but very affordable and cozy.
964,Surry Hills,Entire home/apt,679.11,4.9,"Very noisy and bustling, great for nightlife but hard to sleep."
965,Parramatta,Shared room,418.92,4.4,A bit outdated but very affordable and cozy.
966,Parramatta,Entire home/apt,214.38,2.7,"A lovely, quiet neighborhood perfect for families. Close to the beach."
967,Manly,Private room,543.44,4.1,"Quiet and peaceful, the perfect romantic getaway."
968,Manly,Private room,127.2,2.8,"Terrible experience, the place was dirty and loud."
969,Newtown,Private room,759.33,2.5,A bit outdated but very affordable and cozy.
970,Bondi,Entire home/apt,665.37,2.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
971,Manly,Shared room,249.48,2.5,"Terrible experience, the place was dirty and loud."
972,Darlinghurst,Shared room,746.69,3.7,A bit outdated but very affordable and cozy.
973,Manly,Shared room,89.82,2.6,"Basic room, clean but tiny. The host was very friendly."
974,Newtown,Private room,669.96,3.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
975,Surry Hills,Private room,789.86,4.0,"Very noisy and bustling, great for nightlife but hard to sleep."
976,Surry Hills,Private room,279.69,4.5,A bit outdated but very affordable and cozy.
977,Darlinghurst,Shared room,334.29,3.2,"Terrible experience, the place was dirty and loud."
978,Parramatta,Entire home/apt,722.08,4.6,"Very noisy and bustling, great for nightlife but hard to sleep."
979,Manly,Entire home/apt,108.98,3.1,Luxury villa with a pool and ocean views. Incredible experience.
980,Parramatta,Shared room,653.14,3.3,"Basic room, clean but tiny. The host was very friendly."
981,Manly,Shared room,789.78,4.2,A bit outdated but very affordable and cozy.
982,Bondi,Shared room,382.78,3.1,"Terrible experience, the place was dirty and loud."
983,Surry Hills,Entire home/apt,503.29,2.9,"Basic room, clean but tiny. The host was very friendly."
984,Surry Hills,Shared room,336.79,4.0,A bit outdated but very affordable and cozy.
985,Bondi,Entire home/apt,270.16,2.9,"Basic room, clean but tiny. The host was very friendly."
986,Bondi,Private room,482.21,4.4,"Basic room, clean but tiny. The host was very friendly."
987,Manly,Entire home/apt,389.03,2.9,A bit outdated but very affordable and cozy.
988,Manly,Shared room,523.84,2.5,"Basic room, clean but tiny. The host was very friendly."
989,Surry Hills,Entire home/apt,231.27,5.0,"Terrible experience, the place was dirty and loud."
990,Manly,Entire home/apt,778.7,4.2,"Terrible experience, the place was dirty and loud."
991,Darlinghurst,Private room,751.98,3.4,Extremely clean and modern apartment with high-speed wifi.
992,Bondi,Shared room,458.81,4.8,"Very noisy and bustling, great for nightlife but hard to sleep."
993,Manly,Private room,528.38,2.7,A bit outdated but very affordable and cozy.
994,Parramatta,Entire home/apt,358.29,4.7,"Very noisy and bustling, great for nightlife but hard to sleep."
995,Manly,Private room,647.25,4.1,Extremely clean and modern apartment with high-speed wifi.
996,Newtown,Shared room,185.41,3.3,Extremely clean and modern apartment with high-speed wifi.
997,Parramatta,Entire home/apt,489.14,2.7,A bit outdated but very affordable and cozy.
998,Manly,Entire home/apt,624.29,3.1,"Quiet and peaceful, the perfect romantic getaway."
999,Manly,Entire home/apt,59.34,4.1,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1000,Manly,Shared room,758.75,3.1,Luxury villa with a pool and ocean views. Incredible experience.
1001,Surry Hills,Entire home/apt,386.59,3.8,A bit outdated but very affordable and cozy.
1002,Surry Hills,Shared room,235.19,4.9,"Quiet and peaceful, the perfect romantic getaway."
1003,Bondi,Private room,291.91,2.8,"Quiet and peaceful, the perfect romantic getaway."
1004,Surry Hills,Private room,185.65,3.9,A bit outdated but very affordable and cozy.
1005,Darlinghurst,Entire home/apt,380.02,4.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1006,Manly,Shared room,450.04,4.7,Extremely clean and modern apartment with high-speed wifi.
1007,Newtown,Shared room,744.63,4.2,A bit outdated but very affordable and cozy.
1008,Manly,Entire home/apt,300.8,2.9,"Basic room, clean but tiny. The host was very friendly."
1009,Parramatta,Entire home/apt,701.48,3.7,"Very noisy and bustling, great for nightlife but hard to sleep."
1010,Surry Hills,Entire home/apt,357.49,4.4,Luxury villa with a pool and ocean views. Incredible experience.
1011,Parramatta,Private room,515.16,3.0,Extremely clean and modern apartment with high-speed wifi.
1012,Manly,Private room,304.48,4.3,"Quiet and peaceful, the perfect romantic getaway."
1013,Newtown,Shared room,241.25,4.4,"Basic room, clean but tiny. The host was very friendly."
1014,Parramatta,Private room,735.45,4.2,Luxury villa with a pool and ocean views. Incredible experience.
1015,Parramatta,Private room,346.88,3.6,"Terrible experience, the place was dirty and loud."
1016,Parramatta,Private room,229.13,2.7,A bit outdated but very affordable and cozy.
1017,Bondi,Private room,486.59,4.4,A bit outdated but very affordable and cozy.
1018,Parramatta,Entire home/apt,728.67,3.8,"Terrible experience, the place was dirty and loud."
1019,Bondi,Private room,745.85,3.0,"Quiet and peaceful, the perfect romantic getaway."
1020,Newtown,Private room,757.68,4.2,"Terrible experience, the place was dirty and loud."
1021,Parramatta,Private room,739.76,2.8,A bit outdated but very affordable and cozy.
1022,Manly,Private room,350.69,2.6,"Terrible experience, the place was dirty and loud."
1023,Bondi,Entire home/apt,756.94,3.0,Extremely clean and modern apartment with high-speed wifi.
1024,Newtown,Private room,503.04,4.0,A bit outdated but very affordable and cozy.
1025,Surry Hills,Entire home/apt,483.11,4.7,A bit outdated but very affordable and cozy.
1026,Manly,Shared room,720.51,3.4,A bit outdated but very affordable and cozy.
1027,Manly,Shared room,756.22,3.0,"Basic room, clean but tiny. The host was very friendly."
1028,Bondi,Shared room,172.5,3.7,"Quiet and peaceful, the perfect romantic getaway."
1029,Surry Hills,Shared room,567.73,4.5,"Very noisy and bustling, great for nightlife but hard to sleep."
1030,Newtown,Shared room,594.53,3.4,Extremely clean and modern apartment with high-speed wifi.
1031,Surry Hills,Shared room,513.69,4.5,"Quiet and peaceful, the perfect romantic getaway."
1032,Darlinghurst,Private room,487.26,3.4,Extremely clean and modern apartment with high-speed wifi.
1033,Manly,Shared room,758.92,4.1,Extremely clean and modern apartment with high-speed wifi.
1034,Manly,Entire home/apt,769.12,3.0,"Quiet and peaceful, the perfect romantic getaway."
1035,Parramatta,Entire home/apt,133.27,3.3,A bit outdated but very affordable and cozy.
1036,Newtown,Private room,509.58,2.8,"Very noisy and bustling, great for nightlife but hard to sleep."
1037,Parramatta,Entire home/apt,565.25,4.9,Extremely clean and modern apartment with high-speed wifi.
1038,Manly,Entire home/apt,52.41,5.0,"Quiet and peaceful, the perfect romantic getaway."
1039,Newtown,Private room,414.36,2.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1040,Bondi,Private room,255.37,4.8,"Basic room, clean but tiny. The host was very friendly."
1041,Surry Hills,Private room,356.86,4.6,"Basic room, clean but tiny. The host was very friendly."
1042,Manly,Shared room,579.36,2.9,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1043,Manly,Private room,128.66,4.0,A bit outdated but very affordable and cozy.
1044,Parramatta,Private room,388.28,3.7,A bit outdated but very affordable and cozy.
1045,Manly,Shared room,458.44,2.5,"Very noisy and bustling, great for nightlife but hard to sleep."
1046,Newtown,Private room,358.9,2.8,"Very noisy and bustling, great for nightlife but hard to sleep."
1047,Surry Hills,Entire home/apt,778.23,3.2,A bit outdated but very affordable and cozy.
1048,Darlinghurst,Entire home/apt,737.24,4.7,"Basic room, clean but tiny. The host was very friendly."
1049,Darlinghurst,Entire home/apt,519.54,4.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1050,Surry Hills,Shared room,308.54,3.9,"Very noisy and bustling, great for nightlife but hard to sleep."
1051,Newtown,Shared room,710.73,4.7,"Terrible experience, the place was dirty and loud."
1052,Darlinghurst,Entire home/apt,234.14,3.4,"Terrible experience, the place was dirty and loud."
1053,Surry Hills,Entire home/apt,186.96,3.5,Luxury villa with a pool and ocean views. Incredible experience.
1054,Darlinghurst,Shared room,254.28,4.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1055,Darlinghurst,Private room,412.61,4.5,"Terrible experience, the place was dirty and loud."
1056,Parramatta,Shared room,636.71,3.6,"Terrible experience, the place was dirty and loud."
1057,Newtown,Shared room,526.38,5.0,"Very noisy and bustling, great for nightlife but hard to sleep."
1058,Darlinghurst,Shared room,409.43,2.8,"Basic room, clean but tiny. The host was very friendly."
1059,Bondi,Entire home/apt,293.21,4.2,Extremely clean and modern apartment with high-speed wifi.
1060,Darlinghurst,Entire home/apt,595.63,3.4,A bit outdated but very affordable and cozy.
1061,Surry Hills,Private room,637.09,4.9,"Basic room, clean but tiny. The host was very friendly."
1062,Parramatta,Shared room,401.15,4.0,"Basic room, clean but tiny. The host was very friendly."
1063,Darlinghurst,Private room,265.24,2.8,"Very noisy and bustling, great for nightlife but hard to sleep."
1064,Manly,Private room,549.37,3.9,"Terrible experience, the place was dirty and loud."
1065,Surry Hills,Private room,452.08,4.1,"Very noisy and bustling, great for nightlife but hard to sleep."
1066,Bondi,Shared room,551.53,3.9,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1067,Darlinghurst,Entire home/apt,319.55,3.4,Extremely clean and modern apartment with high-speed wifi.
1068,Newtown,Private room,156.16,4.9,A bit outdated but very affordable and cozy.
1069,Manly,Shared room,86.03,4.7,"Very noisy and bustling, great for nightlife but hard to sleep."
1070,Parramatta,Private room,336.99,4.1,Extremely clean and modern apartment with high-speed wifi.
1071,Surry Hills,Shared room,518.73,4.3,"Very noisy and bustling, great for nightlife but hard to sleep."
1072,Parramatta,Private room,558.22,4.1,"Quiet and peaceful, the perfect romantic getaway."
1073,Manly,Entire home/apt,133.18,4.3,A bit outdated but very affordable and cozy.
1074,Darlinghurst,Shared room,728.91,2.5,"Quiet and peaceful, the perfect romantic getaway."
1075,Bondi,Entire home/apt,658.86,2.9,"Very noisy and bustling, great for nightlife but hard to sleep."
1076,Parramatta,Entire home/apt,156.29,4.8,Extremely clean and modern apartment with high-speed wifi.
1077,Parramatta,Entire home/apt,429.55,4.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1078,Bondi,Entire home/apt,742.42,4.4,"Basic room, clean but tiny. The host was very friendly."
1079,Darlinghurst,Private room,280.86,4.0,"Very noisy and bustling, great for nightlife but hard to sleep."
1080,Manly,Entire home/apt,80.41,2.6,Extremely clean and modern apartment with high-speed wifi.
1081,Parramatta,Private room,420.2,4.8,"Quiet and peaceful, the perfect romantic getaway."
1082,Surry Hills,Entire home/apt,174.54,3.1,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1083,Manly,Shared room,249.16,4.3,"Terrible experience, the place was dirty and loud."
1084,Manly,Private room,708.73,3.9,"Quiet and peaceful, the perfect romantic getaway."
1085,Surry Hills,Shared room,394.42,4.3,"Basic room, clean but tiny. The host was very friendly."
1086,Manly,Entire home/apt,404.55,3.1,"Basic room, clean but tiny. The host was very friendly."
1087,Parramatta,Shared room,351.57,3.7,"Basic room, clean but tiny. The host was very friendly."
1088,Parramatta,Shared room,517.64,3.2,"Quiet and peaceful, the perfect romantic getaway."
1089,Darlinghurst,Entire home/apt,206.11,3.4,"Very noisy and bustling, great for nightlife but hard to sleep."
1090,Parramatta,Entire home/apt,308.04,2.7,A bit outdated but very affordable and cozy.
1091,Darlinghurst,Shared room,167.99,4.0,"Quiet and peaceful, the perfect romantic getaway."
1092,Bondi,Shared room,605.86,4.6,"Terrible experience, the place was dirty and loud."
1093,Newtown,Shared room,217.42,4.3,Extremely clean and modern apartment with high-speed wifi.
1094,Bondi,Shared room,245.96,2.9,"Very noisy and bustling, great for nightlife but hard to sleep."
1095,Surry Hills,Shared room,393.05,3.5,Luxury villa with a pool and ocean views. Incredible experience.
1096,Newtown,Shared room,156.03,3.1,"Quiet and peaceful, the perfect romantic getaway."
1097,Darlinghurst,Entire home/apt,289.55,3.1,"Quiet and peaceful, the perfect romantic getaway."
1098,Darlinghurst,Shared room,610.79,3.1,"Quiet and peaceful, the perfect romantic getaway."
1099,Darlinghurst,Entire home/apt,110.62,4.3,"Basic room, clean but tiny. The host was very friendly."
1100,Parramatta,Shared room,613.4,3.6,"Terrible experience, the place was dirty and loud."
1101,Parramatta,Shared room,120.61,4.0,"Very noisy and bustling, great for nightlife but hard to sleep."
1102,Parramatta,Entire home/apt,479.59,2.6,"Quiet and peaceful, the perfect romantic getaway."
1103,Bondi,Shared room,68.15,3.5,A bit outdated but very affordable and cozy.
1104,Parramatta,Private room,783.21,2.8,A bit outdated but very affordable and cozy.
1105,Surry Hills,Shared room,640.7,4.1,Luxury villa with a pool and ocean views. Incredible experience.
1106,Manly,Shared room,247.13,5.0,"Very noisy and bustling, great for nightlife but hard to sleep."
1107,Manly,Private room,312.8,2.7,"Basic room, clean but tiny. The host was very friendly."
1108,Surry Hills,Entire home/apt,217.04,4.0,"Basic room, clean but tiny. The host was very friendly."
1109,Surry Hills,Private room,282.97,4.9,Extremely clean and modern apartment with high-speed wifi.
1110,Manly,Entire home/apt,666.23,4.9,"Terrible experience, the place was dirty and loud."
1111,Darlinghurst,Private room,397.6,2.8,"Quiet and peaceful, the perfect romantic getaway."
1112,Bondi,Entire home/apt,496.34,3.9,"Very noisy and bustling, great for nightlife but hard to sleep."
1113,Darlinghurst,Entire home/apt,750.18,4.8,Extremely clean and modern apartment with high-speed wifi.
1114,Darlinghurst,Entire home/apt,636.05,2.9,"Quiet and peaceful, the perfect romantic getaway."
1115,Newtown,Entire home/apt,282.21,4.0,"Very noisy and bustling, great for nightlife but hard to sleep."
1116,Surry Hills,Private room,444.57,3.1,"Quiet and peaceful, the perfect romantic getaway."
1117,Manly,Entire home/apt,109.19,4.8,"Very noisy and bustling, great for nightlife but hard to sleep."
1118,Darlinghurst,Private room,210.59,2.7,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1119,Darlinghurst,Private room,523.1,4.8,"Basic room, clean but tiny. The host was very friendly."
1120,Darlinghurst,Private room,751.76,3.4,Luxury villa with a pool and ocean views. Incredible experience.
1121,Surry Hills,Entire home/apt,795.62,3.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1122,Manly,Entire home/apt,174.66,4.2,Extremely clean and modern apartment with high-speed wifi.
1123,Parramatta,Shared room,696.98,4.4,"Terrible experience, the place was dirty and loud."
1124,Darlinghurst,Entire home/apt,473.49,2.9,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1125,Surry Hills,Entire home/apt,434.18,3.2,Luxury villa with a pool and ocean views. Incredible experience.
1126,Manly,Shared room,650.78,3.7,"Terrible experience, the place was dirty and loud."
1127,Manly,Entire home/apt,356.09,3.2,"Very noisy and bustling, great for nightlife but hard to sleep."
1128,Newtown,Shared room,425.19,3.1,"Basic room, clean but tiny. The host was very friendly."
1129,Parramatta,Shared room,110.65,4.6,"Very noisy and bustling, great for nightlife but hard to sleep."
1130,Bondi,Entire home/apt,796.68,2.7,"Basic room, clean but tiny. The host was very friendly."
1131,Darlinghurst,Private room,475.31,3.2,"Quiet and peaceful, the perfect romantic getaway."
1132,Surry Hills,Private room,779.54,4.9,"Quiet and peaceful, the perfect romantic getaway."
1133,Bondi,Entire home/apt,383.61,2.8,"Terrible experience, the place was dirty and loud."
1134,Darlinghurst,Shared room,635.12,4.3,A bit outdated but very affordable and cozy.
1135,Manly,Shared room,655.0,2.5,Extremely clean and modern apartment with high-speed wifi.
1136,Bondi,Shared room,312.36,3.1,Luxury villa with a pool and ocean views. Incredible experience.
1137,Newtown,Private room,586.41,3.9,"Very noisy and bustling, great for nightlife but hard to sleep."
1138,Parramatta,Private room,410.72,3.3,"Terrible experience, the place was dirty and loud."
1139,Darlinghurst,Entire home/apt,453.6,4.4,A bit outdated but very affordable and cozy.
1140,Parramatta,Private room,668.86,3.9,Extremely clean and modern apartment with high-speed wifi.
1141,Bondi,Entire home/apt,544.46,4.6,"Basic room, clean but tiny. The host was very friendly."
1142,Parramatta,Shared room,69.98,4.3,"Quiet and peaceful, the perfect romantic getaway."
1143,Surry Hills,Entire home/apt,424.81,3.6,"Quiet and peaceful, the perfect romantic getaway."
1144,Newtown,Shared room,240.51,3.7,"Very noisy and bustling, great for nightlife but hard to sleep."
1145,Surry Hills,Shared room,322.24,4.8,A bit outdated but very affordable and cozy.
1146,Parramatta,Shared room,738.01,2.8,Extremely clean and modern apartment with high-speed wifi.
1147,Bondi,Shared room,102.38,4.1,"Very noisy and bustling, great for nightlife but hard to sleep."
1148,Bondi,Entire home/apt,255.75,4.0,A bit outdated but very affordable and cozy.
1149,Bondi,Shared room,170.38,4.7,"Terrible experience, the place was dirty and loud."
1150,Bondi,Shared room,112.59,4.0,"Very noisy and bustling, great for nightlife but hard to sleep."
1151,Manly,Private room,493.26,2.8,"Basic room, clean but tiny. The host was very friendly."
1152,Bondi,Shared room,464.26,3.9,"Terrible experience, the place was dirty and loud."
1153,Darlinghurst,Entire home/apt,205.65,4.3,"A lovely, quiet neighborhood perfect for families. Close to the beach."
1154,Newtown,Shared room,169.8,4.3,"Basic room, clean but tiny. The host was very friendly."
1155,Surry Hills,Shared room,290.13,3.5,A bit outdated but very affordable and cozy.
